=== Saved Attacks ===
Participation: 56 | Stars: 2 | %: 61.0 | Attack #: 1 | Target: #20JVJQG0 | Mirror: True | New Stars: 2 | Delta: 0 | Time: 99
Participation: 56 | Stars: 2 | %: 78.0 | Attack #: 2 | Target: #QQC0PU29 | Mirror: False | New Stars: 2 | Delta: -1 | Time: 85
Participation: 59 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #2VCYU8VQU | Mirror: True | New Stars: 3 | Delta: 0 | Time: 144
Participation: 59 | Stars: 2 | %: 82.0 | Attack #: 2 | Target: #Y8RRJUL8Y | Mirror: False | New Stars: 2 | Delta: 18 | Time: 180
Participation: 60 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #PVRPUCJGU | Mirror: True | New Stars: 3 | Delta: 0 | Time: 117
Participation: 60 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #2YULCC0VU | Mirror: False | New Stars: 3 | Delta: 1 | Time: 101
Participation: 65 | Stars: 2 | %: 92.0 | Attack #: 1 | Target: #YQYJQVJLQ | Mirror: False | New Stars: 2 | Delta: -6 | Time: 163
Participation: 65 | Stars: 2 | %: 85.0 | Attack #: 2 | Target: #G892Y8UCR | Mirror: False | New Stars: 2 | Delta: -5 | Time: 116
Participation: 51 | Stars: 2 | %: 91.0 | Attack #: 1 | Target: #VUGRCJQP | Mirror: True | New Stars: 2 | Delta: 0 | Time: 134
Participation: 51 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #Q8G8R8RR0 | Mirror: False | New Stars: 3 | Delta: 1 | Time: 92
Participation: 79 | Stars: 2 | %: 74.0 | Attack #: 1 | Target: #2R90YR9UG | Mirror: False | New Stars: 2 | Delta: 2 | Time: 130
Participation: 79 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #Y8JU092YQ | Mirror: False | New Stars: 3 | Delta: -6 | Time: 104
Participation: 68 | Stars: 2 | %: 75.0 | Attack #: 1 | Target: #GQ2JU0QJY | Mirror: False | New Stars: 2 | Delta: -9 | Time: 145
Participation: 68 | Stars: 2 | %: 88.0 | Attack #: 2 | Target: #8RR9J2Q0G | Mirror: False | New Stars: 2 | Delta: -3 | Time: 107
Participation: 58 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #YJRGL88CY | Mirror: False | New Stars: 3 | Delta: 4 | Time: 136
Participation: 58 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #CLV09J29 | Mirror: False | New Stars: 3 | Delta: 3 | Time: 132
Participation: 74 | Stars: 2 | %: 55.0 | Attack #: 1 | Target: #QRRC99LR | Mirror: True | New Stars: 2 | Delta: 0 | Time: 80
Participation: 74 | Stars: 2 | %: 97.0 | Attack #: 2 | Target: #8RJC2U9UP | Mirror: False | New Stars: 2 | Delta: -30 | Time: 142
Participation: 71 | Stars: 2 | %: 82.0 | Attack #: 1 | Target: #8RJC2U9UP | Mirror: False | New Stars: 0 | Delta: -12 | Time: 173
Participation: 71 | Stars: 2 | %: 87.0 | Attack #: 2 | Target: #G892Y8UCR | Mirror: False | New Stars: 0 | Delta: -14 | Time: 167
Participation: 90 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #Y2CGQRLQ | Mirror: False | New Stars: 3 | Delta: 1 | Time: 108
Participation: 90 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #2CVPLPVVY | Mirror: False | New Stars: 3 | Delta: 4 | Time: 156
Participation: 63 | Stars: 1 | %: 95.0 | Attack #: 1 | Target: #8082QVJYQ | Mirror: False | New Stars: 1 | Delta: -1 | Time: 170
Participation: 63 | Stars: 1 | %: 47.0 | Attack #: 2 | Target: #2LGRVG8Q0 | Mirror: True | New Stars: 1 | Delta: 0 | Time: 99
Participation: 88 | Stars: 2 | %: 89.0 | Attack #: 1 | Target: #PPVYQ2RQY | Mirror: False | New Stars: 2 | Delta: -5 | Time: 115
Participation: 88 | Stars: 2 | %: 63.0 | Attack #: 2 | Target: #8082QVJYQ | Mirror: False | New Stars: 1 | Delta: 2 | Time: 86
Participation: 64 | Stars: 2 | %: 72.0 | Attack #: 1 | Target: #LR8C9U0Q | Mirror: True | New Stars: 2 | Delta: 0 | Time: 180
Participation: 69 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #GJ0JP2YC | Mirror: False | New Stars: 3 | Delta: 3 | Time: 106
Participation: 69 | Stars: 2 | %: 59.0 | Attack #: 2 | Target: #CLV09J29 | Mirror: False | New Stars: 0 | Delta: 14 | Time: 79
Participation: 61 | Stars: 3 | %: 100.0 | Attack #: 1 | Target: #L0UJPLGJY | Mirror: True | New Stars: 3 | Delta: 0 | Time: 99
Participation: 61 | Stars: 3 | %: 100.0 | Attack #: 2 | Target: #9J0UPUURV | Mirror: False | New Stars: 3 | Delta: -1 | Time: 137
Participation: 50 | Stars: 2 | %: 96.0 | Attack #: 1 | Target: #Y8RRJUL8Y | Mirror: True | New Stars: 0 | Delta: 0 | Time: 180
Participation: 50 | Stars: 2 | %: 97.0 | Attack #: 2 | Target: #2CV8YY9C2 | Mirror: False | New Stars: 2 | Delta: -10 | Time: 180
